,label,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8
73,0,8632.42,5864.48,4135.75,300.08,9680.39,4784.51,6588.83,11492.86
74,0,6974.54,6092.95,4302.9,18.32,9558.6,4658.71,6628.63,11491.98
75,0,7015.52,6138.01,5259.91,16.69,9804.26,5067.34,6226.2,11539.49
76,0,7171.51,6322.3,6661.14,16.3,9995.16,5269.48,6333.14,11739.17
77,0,6577.52,6563.41,7651.35,18.59,10207.67,5629.49,6366.46,11858.16
78,0,6462.81,6895.83,8030.92,14.84,10450.68,5190.15,6405.17,11857.01
79,0,6396.16,7286.03,8326.92,17.04,10662.42,5274.11,6572.26,11856.24
80,0,6457.57,7182.4,7573.26,15.67,10459.48,5101.34,6492.29,11703.1
81,0,6267.54,6939.89,6970.31,16.12,10392.68,5177.02,6290.64,11725.37
82,0,6190.34,6940.08,6886.67,17.28,10412.82,5195.86,6285.49,11726.21
83,0,6294.41,6904.13,6841.67,16.15,10428.24,5362.21,6351.15,11713.97
84,0,6410.87,6970.87,6732.89,108.37,10432.45,5346.16,6421.96,11763.19
85,0,6488.44,6991.64,6771.22,184.73,10429.37,5223.68,6444.14,11775.5
86,0,5936.04,6752.66,6131.89,166.42,10116.89,4472.49,6416.84,11741.51
87,0,5935.46,6796.91,6223.46,192.58,10117.12,4617.78,6434.94,11780.76
88,0,6043.02,6853.46,6217.98,225.79,10184.79,4960.52,6432.8,11814.93
89,0,6101.1,6530.81,6086.43,263.82,9970.52,5020.21,6360.12,11692.57
90,0,6350.56,6410.4,6090.72,213.75,10043.25,4971.02,6305.12,11651.73
91,0,6369.18,5583,4297.27,206.73,9538.42,4617.52,5442.9,11364.53
92,0,6498.4,5649.37,4774.36,27.72,9542.72,4532.18,5600.29,11401.06
93,0,5949.71,6372.26,6167.91,18.21,9972.01,4756.16,6154.66,11678.27
94,0,5625.37,6780.03,6333.47,159.01,9582.11,3791.11,7241.53,11916.6
95,0,6066.68,6975.51,6636.77,45.81,9599.52,3670.48,7794.53,12050.99
96,0,6633.84,8400.92,8562.7,680.62,10049.47,3455.99,8946.9,12461.99
97,0,6973.58,8761.77,9120.65,851.31,10332.37,3429.94,9269.39,12587.22
98,0,7154.06,8904.02,9465.84,1198.36,10500.2,3348.06,9509.35,12678.53
99,0,10578.63,9268.83,9985.18,2071.71,10924.41,4612.69,9906.08,13099.78
100,0,11827.27,9458.81,10568.56,2619.61,11195.5,5144.04,10435.62,13336.34
101,0,11661.4,9323.53,10447.17,2641.47,11225.89,4891.2,10493.46,13353.07
102,0,11263.74,8946.48,9887.55,2308.38,10981.4,4731.97,10399.09,13262.19
103,0,11202.7,8809.23,9915.79,2122.96,10834.63,4738.95,10167.08,13164.83
104,0,9849.93,8353.23,9131.65,1650.96,10467.77,4165.85,9711.14,12923.89
105,0,9046.07,8298.77,8539.74,1490.52,10321.08,4010.91,9319.03,12821.81
106,0,8680.02,8208.64,8272.31,1500.8,10315.47,3822.45,9306.93,12794.26
107,0,8313.17,8119.74,8261.92,1483.03,10305.1,3857.67,9228.94,12767.18
108,0,8250.62,8137.94,8321.17,1509.78,10321.05,3761.63,9259.27,12807.91
109,0,7847.09,8211.04,8375.92,1503.83,10375.41,3951.66,9226.2,12825.12
110,0,7716.84,8035.4,8238.02,1352.94,10362.39,3932.51,8997.26,12708.82
111,0,7527.26,7668.25,7864.32,1241.93,10047.24,3574.5,9008.12,12619.92
112,0,7377.22,7391.37,7476.34,1016.23,9993.63,3858.47,8530.39,12543.87
113,0,6977.95,7317.3,7586.77,739.26,10013.1,4070.74,8177.32,12391.76
114,0,6223.31,6465.62,6630.43,41.85,10939.89,4166.16,9020.97,13129.95
115,0,4938.8,6008.4,5861.6,1200.71,11345.79,2618.05,9237.51,12923.68
116,0,6055.51,6982.34,6415.93,1057.35,9293.55,3463.67,9304.13,12679.04
117,0,6521.8,6763.16,7492,21.76,12012.53,3539.76,7920.98,13264.6
118,0,7969.24,9371.27,9719.61,2760.32,13654.2,3197.02,8933.07,14190.8
119,0,9864.87,11099.26,11215.28,6094.73,14446.45,2430.88,8968.7,14670.47
120,0,11113.66,12080.05,12101.94,7848.8,15002.74,5060.56,9295.21,14912.72
121,0,11160.3,11725.9,11941.54,8918.14,15283.39,3322.99,6089.22,15211.99
122,0,11565.89,12015.02,11921.04,9131.89,15206.17,6039.01,2452.74,15191.52
123,0,12523.54,12535.27,12473.24,9510.74,15137.62,9289.4,20.97,14873.71
124,0,2706.62,4446.65,3341,20.87,10280.69,3258.95,5131.65,12940.47
125,0,6729.52,5778.93,7029.84,22.26,9013.64,3401.47,8058.5,11616.46
126,0,5821.55,6175.23,6578.19,22.72,9154.69,2728.94,7769.41,11424.98
127,0,7212.77,6790.26,7093.54,22.83,9439.32,3013.13,8826,11903.42
128,0,9108.81,7732.21,8158.12,783.75,9968.98,2551.23,9990.99,12554.03
129,0,9682.38,8116.22,8347.09,1333.03,9716.77,2224.33,10664.79,12664.28
130,0,10270.68,7506.63,7948.14,1251.73,9854.13,2389.94,10529.77,12583.69
131,0,9779.53,7008.3,7331.88,984.74,9539.98,2512.86,10103.89,12385.58
132,0,8920.71,7076.89,7285.95,665.99,9706.03,2509.23,9716.08,12119.38
133,0,9128.99,7243.67,7494.96,871.45,9779.12,2602.15,9994.79,12447.02
134,0,8318.37,7349.8,7647.27,928.73,9803.63,2639.97,10015.93,12402.07
135,0,8274.47,7342.21,7577.03,1147.45,9895.62,2951.06,9902.98,12407.85
136,0,8420.22,7372.99,7524.06,1223.45,10138.64,3010.89,9902.66,12451.55
137,0,8249.26,7349.8,7630.79,1144.25,10185.14,3094.89,9911.11,12468.5
138,0,8289.93,7300.98,7666.46,1003.93,10236.51,2988.52,9929.32,12471.66
139,0,8295.32,7250,7658.46,1223.83,10225.73,3159.2,9814.52,12474.14
140,0,8196.3,7239.09,7663.62,1108.56,10239.3,3618.85,9821.9,12474.72
141,0,8046.02,7320.66,7651.36,1149.27,10272.1,3751.74,9859.86,12478.67
142,0,8103.5,7324.7,7785.26,1136.27,10176.24,3747.85,9792.82,12474.08
143,0,8062.81,7327.08,7765.96,1110.05,10226.78,3630.06,9690.62,12490.35
144,0,8024.72,7320.52,7731.4,1048.35,10241.56,3746.79,9635.65,12516.04
145,0,7885.08,7330,7729.56,1016.54,10178.38,3796.17,9646.61,12517.55
146,0,8028.2,7346.62,7646.38,1035.05,10131.93,3832.49,9779.47,12540.95
147,0,8014.16,7263.72,7677.62,975.69,10126.24,3824.68,9750.12,12539.9
148,0,7819.33,7327.45,7723.11,1130.2,10206.55,3754.1,9765.23,12552.26
149,0,7758.53,7230.25,7663.53,1089.73,10216.94,3726.62,9649.22,12522.85
150,0,7679.86,7154.22,7614.31,1263.94,10206.37,3793.4,9813.12,12513.62
151,0,7792.31,7318.88,7415.16,1264.16,10270.06,3873.79,9780.79,12542
